,Up_Perc_90,Up_Perc_85,Down_Perc_50,Down_Perc_75,Avg_Down,Avg_Up,Up_Perc_50,Up_Perc_75,Down_Perc_90,Down_Perc_85,deployment_id
00:1e:06:33:ea:74,158676.0,158386.0,115729.0,150894.25,131119.17805555556,83933.4448518112,11919.1,158045.0,151327.6,151029.0,test_4988
00:1e:06:33:f2:02,11988.64,11971.76,176369.5,225688.25,175698.56157831327,9022.568419161677,11673.6,11924.05,231628.2,229714.55,test1-04
00:1e:06:34:79:d3,23798.2,23753.28,218598.0,224354.0,212549.8792381524,23367.63163963964,23610.0,23686.4,228812.80000000002,225902.4,test1-12
00:1e:06:34:7a:4f,12022.01,12004.539999999999,132558.5,137467.5,122690.85128428927,11146.374631449631,11899.6,11974.075,139478.6,138781.4,test_1164
00:1e:06:34:7f:4f,12012.52,11952.14,53598.2,54192.375,73724.54955339804,12320.341268151018,11031.3,11116.6,171556.5,167528.25,test_1549
00:1e:06:34:7f:5a,36681.0,36577.42,117346.0,118553.0,125009.50145454546,18554.345116883116,11985.4,35751.4,247112.60000000003,187232.19999999995,test1-16
00:1e:06:34:9f:0c,36743.380000000005,36701.9,71371.6,112064.0,76543.83944272446,19075.10147294589,6030.36,36602.024999999994,113978.4,113388.8,test_1960
00:1e:06:35:57:14,89286.2,89051.9,82982.8,83087.9,80279.65063157894,88356.80161750714,88508.9,88841.65,83162.16,83133.54000000001,test_6445
00:1e:06:35:57:dc,36647.14,36623.62,112034.0,114036.0,94106.93863157895,32491.441623843777,36426.1,36568.4,114563.8,114337.65000000001,test_7234
00:1e:06:35:57:e0,5896.344,5887.882,69451.1,69995.4,68908.67066298342,5401.9059085963,5851.45,5870.345,70158.84,70096.49999999999,test_9655
00:1e:06:35:57:eb,25113.21,25087.925000000003,285412.0,314681.5,285659.3205183585,24796.01075949367,24891.35,25045.625,325585.4,322285.3,test_6146
00:1e:06:35:58:4f,794033.7999999999,773678.05,535935.0,704855.5,524381.6311590909,672255.738037694,709850.5,748556.5,799027.2,767989.2000000001,test_2787
00:1e:06:35:59:b1,36689.32,36661.11,199050.0,210725.0,192770.09694117648,36468.48712643678,36507.1,36611.1,216531.2,214081.0,test_1802
b8:27:eb:07:05:91,94175.18,94145.94,94051.9,94223.7,82754.84744507729,91429.76888532478,93888.1,94097.95,94490.26000000001,94369.48000000001,test1-08
b8:27:eb:14:13:a0,36193.33,36157.645,47588.05,49863.024999999994,47468.294449838184,36450.38094043887,35995.0,36111.025,51365.270000000004,50693.29,test_9702
b8:27:eb:17:ac:87,60904.22,60763.01,30835.7,31379.4,36227.9491124871,37626.1771195097,30513.8,30774.1,61615.479999999996,60828.72,test_1332
b8:27:eb:1c:22:bf,10446.779999999999,10423.240000000002,76642.0,78949.70000000001,75321.7498506348,11670.541553903346,10307.4,10385.7,79283.56,79173.22,test_3557
b8:27:eb:1e:c3:f9,60043.34,59951.86,24550.5,57474.5,38079.92953172205,37694.73475905865,58536.2,59817.2,57636.09999999999,57568.6,test1-01
b8:27:eb:24:f3:99,989.24,981.653,18228.05,18374.675000000003,16061.280412979353,911.1354933726068,942.35,968.47,18435.33,18417.75,test_1622
b8:27:eb:2a:dc:d7,5990.304,5978.002,29947.6,68321.75,41565.64522108241,4976.872019196588,5875.71,5969.71,69931.26000000001,69661.06,test1-sr
b8:27:eb:35:02:f5,90052.65000000002,87783.53,22856.5,82252.0,49778.796944609894,43865.983456140355,1932.105,87625.125,82714.66,82592.47,test_6172
b8:27:eb:3c:85:4c,90700.0,90612.34,56867.75,72825.525,44418.846296296295,48852.748123076926,60662.3,90513.8,82911.37,82543.675,test1-02
b8:27:eb:4e:e4:0e,94185.44,94048.07999999999,60244.1,78660.5,58373.20011183597,84207.93148387097,93596.8,93923.8,90201.1,88182.86000000002,test1-05
b8:27:eb:59:08:b5,94131.22,94057.705,15247.0,94027.35,47143.73180722891,31353.792874999996,1946.33,93839.4,94481.86,94351.11,test1-15
b8:27:eb:87:28:4e,36418.25,36349.200000000004,67233.29999999999,87872.82500000001,64744.70817699836,25340.032591986917,26280.45,36156.35,91664.26,90923.86499999999,test_5458*
b8:27:eb:98:69:a9,4967.168,4955.399,93282.1,93884.2,88059.95695364238,4886.258137432188,4919.81,4944.18,94076.9,94018.6,test1-07
b8:27:eb:a5:0f:31,60545.399999999994,60444.44,57477.7,57604.375,56076.497881188116,60033.68874371859,60203.8,60363.7,57693.939999999995,57655.065,test_1206
b8:27:eb:a7:1d:af,928.09,879.3725,15604.7,16086.5,14911.387629748528,852.1739067524114,863.075,873.7350000000001,16308.7,16219.34,test1-06
b8:27:eb:a9:76:bc,94110.28,93993.66,85049.4,90889.85,79589.96357601712,88792.11930232559,93451.2,93942.3,92168.29999999999,91656.92,test_5623
b8:27:eb:d6:05:ad,6029.1849999999995,6020.951500000001,71094.25,71592.0,69335.61580645162,5974.95186416185,5980.885,6007.75,71727.6,71669.455,test_7384
b8:27:eb:d8:10:b6,675.298,672.615,6222.264999999999,8201.5125,6303.5125,536.0337719298245,564.01,665.2574999999999,9026.048,8971.613,test1-09
b8:27:eb:fa:9e:b2,94201.6,94151.04999999999,93241.85,94117.07499999998,64041.818356353586,60787.21792065663,93633.8,94028.65,94289.41,94239.26499999998,test_6025
b8:27:eb:fd:10:9b,5908.995,5900.979,69710.29999999999,70177.525,67175.62983193278,5842.013330985916,5863.3150000000005,5891.325000000001,70352.6,70280.985,test1-14
