,Avg_Down,Avg_Up,Down_Perc_50,Down_Perc_75,Down_Perc_85,Down_Perc_90,Up_Perc_50,Up_Perc_75,Up_Perc_85,Up_Perc_90,res_50_perc,res_75_perc,res_85_perc,res_90_perc,res_avg,start_50_perc,start_75_perc,start_85_perc,start_90_perc,start_avg
test1-01,38.07992953172205,37.69473475905865,24.5505,57.4745,57.568599999999996,57.63609999999999,58.536199999999994,59.8172,59.95186,60.04333999999999,480.0,480.0,720.0,720.0,516.0074211502783,176.63789239999994,254.9545,291.7182,291.74454000000003,150.6334355401445
test1-05,58.37320011183598,84.20793148387098,60.244099999999996,78.6605,88.18286000000002,90.20110000000001,93.5968,93.9238,94.04808,94.18544,480.0,480.0,720.0,720.0,480.57113074011085,22.0327476,45.1003807,78.67631252499996,91.702713,41.966177235419465
test1-06,14.911387629748528,0.8521739067524113,15.604700000000001,16.0865,16.21934,16.3087,0.863075,0.8737350000000002,0.8793724999999999,0.9280900000000001,480.0,480.0,480.0,720.0,461.79201585625964,14.2096108,27.068329399999996,127.9400528,150.3178328,43.11234197421638
test1-07,88.05995695364238,4.886258137432188,93.2821,93.88419999999999,94.0186,94.0769,4.91981,4.94418,4.955399000000001,4.967168,480.0,480.0,480.0,720.0,457.1056241426612,122.51441659999999,219.9056708,249.05209518,283.20820000000003,125.60914118406596
test1-08,82.75484744507729,91.42976888532476,94.05189999999999,94.2237,94.36948,94.49025999999999,93.88810000000001,94.09795,94.14594,94.17518,480.0,480.0,720.0,720.0,491.5446896332752,202.0203592,263.69339176000005,291.7182,301.7629,170.9618022850746
test1-12,212.54987923815239,23.36763163963964,218.598,224.354,225.9024,228.81279999999998,23.61,23.686400000000003,23.75328,23.7982,480.0,480.0,720.0,720.0,465.7535422928296,35.0441785,122.24541929999998,207.83389168000008,240.07360792,84.41212819393938
test1-14,67.17562983193278,5.842013330985916,69.71029999999999,70.17752499999999,70.280985,70.35260000000001,5.863315000000002,5.891325000000002,5.900979,5.908995,480.0,480.0,480.0,720.0,480.7893631910427,16.69037475,49.62738571999999,126.77493844499993,159.57788965000015,49.873802763793094
test1-15,47.14373180722891,31.353792875,15.247,94.02735000000001,94.35111,94.48186,1.94633,93.8394,94.057705,94.13122,480.0,480.0,480.0,480.0,419.64735516372804,64.9040455,177.70678924,241.84649,255.91496396,104.50579800000001
test1-16,125.00950145454544,18.55434511688312,117.346,118.553,187.23219999999995,247.11260000000004,11.9854,35.751400000000004,36.57742,36.681,240.0,360.0,480.0,480.0,304.5916193181818,25.3918213,49.58925028999997,87.228096045,117.7598792,46.08722587308856
test1-sr,41.56564522108241,4.9768720191965885,29.947599999999998,68.32175,69.66105999999999,69.93126000000001,5.87571,5.96971,5.978001999999999,5.990304,360.0,480.0,480.0,480.0,357.396449704142,17.184111100000003,40.074288139999965,86.13592743999997,99.09215896000002,42.00467751428572
test_1164,122.69085128428928,11.146374631449632,132.5585,137.4675,138.7814,139.4786,11.8996,11.974075000000001,12.00454,12.02201,480.0,480.0,720.0,720.0,452.4274155164208,54.11095535,163.45587664,217.156919535,237.97839960000002,98.7165397352941
test_1206,56.07649788118812,60.033688743718585,57.4777,57.604375,57.655065,57.693940000000005,60.2038,60.363699999999994,60.44444,60.5454,480.0,480.0,480.0,480.0,436.38814016172506,43.7526883,219.1169854,278.85439510000003,283.20820000000003,114.30228200185185
test_1332,36.227949112487096,37.626177119509705,30.8357,31.3794,60.828720000000004,61.615480000000005,30.5138,30.774099999999997,60.76301,60.90422,480.0,720.0,720.0,720.0,511.8956043956044,13.997994100000005,32.686658599999895,71.35009408999994,139.84557042,40.7612957292517
test_1549,73.72454955339805,12.320341268151019,53.5982,54.192375,167.52825,171.5565,11.0313,11.1166,11.95214,12.01252,480.0,480.0,720.0,720.0,533.4824605998983,42.15343759999998,141.886317,183.8072929,207.7807366,89.29970861683171
test_1622,16.061280412979354,0.9111354933726068,18.22805,18.374675000000007,18.41775,18.43533,0.94235,0.96847,0.981653,0.98924,480.0,480.0,480.0,480.0,404.1206164365268,28.6879654,44.075754979999985,138.69945365999993,174.70964098,57.099381108351025
test_1960,76.54383944272446,19.075101472945892,71.3716,112.064,113.3888,113.9784,6.03036,36.602025000000005,36.7019,36.74338000000001,480.0,720.0,720.0,720.0,562.5974589218653,14.131560799999999,28.92979997999993,85.99745218999996,137.5639132,41.2056793222183
test_2787,524.381631159091,672.255738037694,535.935,704.8555,767.9892000000002,799.0272,709.8505,748.5565,773.6780500000001,794.0337999999998,480.0,480.0,720.0,720.0,451.30822596630327,13.948294499999998,59.619778700000005,153.28603149999998,193.6485,58.2194994019334
