,75_perc,50_perc,avg,90_perc,85_perc
all,480.0,480.0,470.39622298663636,720.0,720.0
test1-01,480.0,480.0,516.0074211502783,720.0,720.0
test1-05,480.0,480.0,480.57113074011085,720.0,720.0
test1-06,480.0,480.0,461.7920158562596,720.0,480.0
test1-07,480.0,480.0,457.10562414266116,720.0,480.0
test1-08,480.0,480.0,491.54468963327514,720.0,720.0
test1-12,480.0,480.0,465.75354229282954,720.0,720.0
test1-14,480.0,480.0,480.7893631910427,720.0,480.0
test1-15,480.0,480.0,419.647355163728,480.0,480.0
test1-16,360.0,240.0,304.5916193181818,480.0,480.0
test1-sr,480.0,360.0,357.396449704142,480.0,480.0
test1-tg,480.0,480.0,526.5130200538761,720.0,720.0
test_1068,720.0,720.0,627.5365579302587,720.0,720.0
test_1147,480.0,480.0,451.3066008636644,480.0,480.0
test_1164,480.0,480.0,452.42741551642075,720.0,720.0
test_1206,480.0,480.0,436.38814016172506,480.0,480.0
test_1332,720.0,480.0,511.8956043956044,720.0,720.0
test_1372,480.0,480.0,478.4761268223401,720.0,720.0
test_1374,720.0,480.0,566.5675500969619,720.0,720.0
test_1464,480.0,360.0,396.48697596422585,720.0,480.0
test_1549,480.0,480.0,533.4824605998983,720.0,720.0
test_1622,480.0,480.0,404.1206164365268,480.0,480.0
test_1666,720.0,480.0,519.9713116483146,720.0,720.0
test_1751,480.0,360.0,404.41326951642185,720.0,480.0
test_1769,480.0,480.0,506.76171079429736,720.0,720.0
test_1786,480.0,480.0,449.2354879759846,720.0,480.0
test_1831,480.0,480.0,410.2560040326936,480.0,480.0
test_1960,720.0,480.0,562.5974589218653,720.0,720.0
test_2000,720.0,720.0,579.6039603960396,720.0,720.0
test_2100,480.0,480.0,474.3630014047136,720.0,720.0
test_2580,480.0,480.0,458.1924115390081,720.0,720.0
test_2776,480.0,480.0,464.2065417839464,720.0,720.0
test_2787,480.0,480.0,451.30822596630327,720.0,720.0
test_3515,480.0,480.0,500.1628834048387,720.0,720.0
test_3557,480.0,480.0,444.0255598831548,720.0,480.0
test_4151,480.0,480.0,505.45454545454544,720.0,720.0
test_4287,480.0,480.0,519.3475569795384,720.0,720.0
test_4302,480.0,480.0,486.75172660766356,720.0,720.0
test_4397,480.0,480.0,419.77667808653723,480.0,480.0
test_4404,480.0,480.0,506.353724689833,720.0,720.0
test_4491,480.0,480.0,445.944941893694,720.0,480.0
test_4654,480.0,480.0,466.1709574550828,720.0,480.0
test_4727,480.0,480.0,498.29553360233757,720.0,720.0
test_4818,480.0,480.0,406.2215852541901,480.0,480.0
test_4988,480.0,480.0,480.0,480.0,480.0
test_5238,480.0,480.0,476.2125625724709,720.0,720.0
test_5458,480.0,480.0,481.30413625304135,720.0,720.0
test_5623,720.0,480.0,579.4996426018585,720.0,720.0
test_5826,480.0,480.0,522.3434620043183,720.0,720.0
test_5838,720.0,480.0,559.7642175176421,720.0,720.0
test_6025,480.0,480.0,465.27180289401645,720.0,720.0
test_6172,480.0,360.0,388.788496619809,480.0,480.0
test_6215,480.0,480.0,500.2429675060447,720.0,720.0
test_6318,480.0,480.0,454.0843189287032,720.0,480.0
test_6445,480.0,480.0,438.04132293952927,720.0,720.0
test_6807,480.0,360.0,412.1063532422921,480.0,480.0
test_7234,480.0,480.0,473.7465373961219,720.0,720.0
test_7384,480.0,480.0,467.3817925194072,720.0,720.0
test_7965,480.0,480.0,448.00294876520456,720.0,720.0
test_8124,480.0,480.0,424.24402177004913,720.0,480.0
test_8128,480.0,360.0,401.9368814289235,480.0,480.0
test_8265,720.0,480.0,537.835680571012,720.0,720.0
test_8440,480.0,480.0,393.87090620031796,480.0,480.0
test_8540,480.0,480.0,448.23307086614176,720.0,480.0
test_8973,480.0,480.0,507.02983138780803,720.0,720.0
test_9296,480.0,480.0,415.7909328352764,720.0,720.0
test_9655,480.0,480.0,480.0,480.0,480.0
test_9702,480.0,480.0,459.94849785407723,720.0,720.0
test_9892,480.0,480.0,431.08673294480633,720.0,480.0
